factor,ic_mean,ic_std,icir,icir_ann,t_stat,hit_rate,n_obs,sign_stability,passes_ic,passes_corr
ret_5,-0.01952157603530749,0.31660509594887765,-0.061659070827020566,-0.9788074048776847,-2.755408591744122,0.5182774161241863,1997,0.7836538461538461,True,True
ret_10,-0.014248239715220379,0.3190559633849711,-0.04465749382665051,-0.7089157370443168,-1.9931455480510294,0.5115461847389559,1992,0.660953401178361,False,False
ret_20,0.007529416694762458,0.33328367473234394,0.022591615688374898,0.35863078095951156,1.005771017196783,0.5151362260343088,1982,0.4399569197630587,False,False
ret_60,-0.013349978099627376,0.34166463634877386,-0.03907333882222337,-0.6202700244994107,-1.7218889385332008,0.523686920700309,1942,0.6081452944413869,False,False
mom_accel,0.018379385664017218,0.3280034191720559,0.05603412827345015,0.8895142100630531,2.4693191972508806,0.525231719876416,1942,0.6796917996697853,False,False
dist_ma_20,0.0047488214380078525,0.32365603355197814,0.014672432909381269,0.23291765163901643,0.6533764688703015,0.4987392839132627,1983,0.4736275565123789,False,False
dist_ma_50,0.0007823728586524249,0.33648346889995884,0.0023251450099768057,0.03691053275136855,0.10275457443307007,0.5012800819252432,1953,0.45295404814004375,False,False
bb_pos_20,0.00958925033139357,0.3022955943271298,0.031721435943312296,0.5035621844152196,1.4125837161528285,0.5042864346949067,1983,0.5026910656620022,False,False
rsi_14,-0.0007217855754655813,0.31446131248222436,-0.0022953080293665116,-0.036436885367961185,-0.10234088445949971,0.49748490945674045,1988,0.6022544283413849,False,False
vol_ratio_20,0.002744906440642898,0.29636400450084,0.009261942742561093,0.1470287829248171,0.4124425363801969,0.5012607160867373,1983,0.5220667384284177,False,False
obv_slope_20,0.006114202028946587,0.2816807536829806,0.021706140547422186,0.3445742988689671,0.9663499662412842,0.5237134207870837,1982,0.564889606892838,False,False
vol_price_corr_20,-0.031372433257587616,0.2952367223268481,-0.10626196162297213,-1.6868563456816426,-4.730746251400586,0.5338042381432896,1982,0.7673667205169629,True,True
dollar_vol_z_60,-0.013906268585767637,0.3014861533721463,-0.04612572892726558,-0.732223246698737,-2.0331978542694977,0.5172413793103449,1943,0.72992299229923,True,False
rvol_20,-0.05333598989871605,0.36635935776733086,-0.14558380663116272,-2.3110712835850356,-6.48134136586568,0.5610494450050454,1982,0.8486806677436726,True,False
rvol_60,-0.06277361957989705,0.375056231963998,-0.16737122124642564,-2.656935768283274,-7.375736581003403,0.547373841400618,1942,0.8519537699504678,True,False
vol_of_vol_60,-0.045390980999154916,0.30056114228595804,-0.1510207894937041,-2.397380710805863,-6.622567270057523,0.5657826313052522,1923,0.7869855394883204,True,True
hl_range_20,-0.07038529898230796,0.3846567709360511,-0.18298208767007368,-2.9047505901266,-8.14835488066514,0.5592536560766516,1983,0.9402583423035522,True,False
garman_klass_20,-0.07104309824609818,0.37751917118432854,-0.18818408088581676,-2.987329672350808,-8.380004258745874,0.5642965204236006,1983,0.9709364908503767,True,True
amihud_illiq_20,-0.04957511210122016,0.3146635540848894,-0.15754958417537568,-2.5010221133380877,-7.014053696767553,0.5544904137235116,1982,0.9676898222940227,True,True
hl_spread_proxy_20,-0.07022725843911994,0.3848575493938038,-0.18247597987810343,-2.896716378001728,-8.125817451185815,0.5562279374684821,1983,0.9424111948331539,True,False
taker_buy_ratio_20,0.0457394628268016,0.28538113150096045,0.16027500692226973,2.544286858172889,7.137188407525777,0.5612708018154312,1983,0.8519913885898815,True,True
taker_imbalance_20,0.0457394628268016,0.28538113150096045,0.16027500692226973,2.544286858172889,7.137188407525777,0.5612708018154312,1983,0.8519913885898815,True,False
quote_vol_per_trade_z_20,-0.001274620409938075,0.28615286928040046,-0.004454333843107747,-0.07071035763193019,-0.19835544217880824,0.5012607160867373,1983,0.4456404736275565,False,False
num_trades_z_60,-0.022754963177199168,0.2981142412158111,-0.07632967510843058,-1.2116960279475868,-3.3645719050265663,0.5342254246011323,1943,0.8261826182618262,True,True
rs_vs_btc_60,-0.013349978099627376,0.34166463634877386,-0.03907333882222337,-0.6202700244994107,-1.7218889385332008,0.523686920700309,1942,0.6081452944413869,False,False
beta_btc_60,-0.03530175183998129,0.3646038294901149,-0.09682221903524574,-1.5370050777161064,-4.266774045585432,0.5242018537590113,1942,0.7149146945514584,True,True
idio_vol_btc_60,-0.07258332417090245,0.35680687699056685,-0.2034246783108426,-3.2292666560628267,-8.82731852384816,0.5554965480616039,1883,0.9118316268486917,True,True
